index,title,description,difficulty,certificate_available,students,price,rating,reviews_count,source,course
the-complete-agentic-ai-engineering-,AI Engineer Agentic Track: The Complete Agent & MCP Course,"Master AI Agents in 30 days: build 8 real-world projects with OpenAI Agents SDK, CrewAI, LangGraph, AutoGen and MCP.",Средний,True,170 996 студента,5390.0,"4,7",23871,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Все уровни,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
complete-guide-to-tensorflow-for-deep-learning-with-python/,Complete Guide to TensorFlow for Deep Learning with Python,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,Средний,True,98 598 студента,6290.0,"4,4",17074,udemy,Обработка и анализ данных
generative-creative-ai-from-gans-to-clip-with-python-and-pytorch/,"Generative AI, from GANs to CLIP, with Python and Pytorch","Learn to code with the most creative and exciting AI architectures, generative AI networks, from basic to advanced",Все уровни,True,69 141 студент,5390.0,"4,5",24715,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Все уровни,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Все уровни,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
machine-learning-for-data-science/,Introduction to Machine Learning for Data Science,"A primer on Machine Learning for Data Science.  Revealed for everyday people, by the Backyard Data Scientist.",Начальный,True,72 094 студента,5690.0,"4,5",16099,udemy,Обработка и анализ данных
deep-learning-tensorflow-2/,[2026] Tensorflow 2: Deep Learning & Artificial Intelligence,"Machine Learning & Neural Networks for Computer Vision, Time Series Analysis, NLP, GANs, Reinforcement Learning, +More!",Все уровни,True,63 939 студента,7890.0,"4,6",13663,udemy,Обработка и анализ данных
llm-engineering-master-ai-and-large-language-models/,"AI Engineer Core Track: LLM Engineering, RAG, QLoRA, Agents","Become an LLM Engineer in 8 weeks: Build and deploy 8 LLM apps, mastering Generative AI, RAG, LoRA and AI Agents.",Все уровни,True,175 053 студента,5390.0,"4,7",23169,udemy,Обработка и анализ данных
how-to-use-artificial-intelligence-a-guide-for-everyone/,How to use Artificial Intelligence - A guide for everyone!,Benefit today from the technology of tomorrow : Start using Artificial Intelligence to boost your productivity!,Начальный,True,37 064 студента,5390.0,"4,5",18114,udemy,Обработка и анализ данных
complete-generative-ai-course-with-langchain-and-huggingface/,Complete Generative AI Course With Langchain and Huggingface,"Complete Guide to Building, Deploying, and Optimizing Generative AI with Langchain and Huggingface",Все уровни,True,104 806 студента,5390.0,"4,6",14994,udemy,Обработка и анализ данных
taming-big-data-with-apache-spark-hands-on/,Taming Big Data with Apache Spark 4 and Python - Hands On!,PySpark tutorial with 40+  hands-on examples of analyzing large data sets on your desktop or on Hadoop with Python!,Все уровни,True,112 077 студента,7390.0,"4,5",17709,udemy,Обработка и анализ данных
apache-spark-with-scala-hands-on-with-big-data/,Apache Spark with Scala - Hands On with Big Data!,"Apache Spark tutorial with 20+  hands-on examples of analyzing large data sets, on your desktop or on Hadoop with Scala!",Все уровни,True,103 265 студента,5890.0,"4,6",18681,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Все уровни,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
apache-spark-programming-in-python-for-beginners/,PySpark - Apache Spark Programming for Beginners (2026),Master Apache Spark Programming in Python (PySpark) Using Databricks Free Edition - Recreated for 2026,Все уровни,True,89 645 студента,6090.0,"4,5",15078,udemy,Обработка и анализ данных
ai-bible-chatgpt-openai-api-dalle-bard-midjourney-gpt4/,"ChatGPT, Midjourney, ChatGPT 4 & 5, & DallE - The AI Bible","Master ChatGPT, CoPilot, AI Agents & Cutting-Edge AI Tools from an AI Expert to Automate tasks & 10x Your Productivity!",Начальный,True,31 796 студента,5390.0,"4,6",17687,udemy,Обработка и анализ данных
artificial-intelligence-machine-learning-business/,Artificial Intelligence & Machine Learning for Business,"The Ultimate Artificial Intelligence & Machine Learning course for CxOs, Managers, Team Leaders and Entrepreneurs",Все уровни,True,60 531 студент,6090.0,"4,5",23921,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Все уровни,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
ittensive-python-machine-learning-zero2hero/,Машинное обучение: из грязи в Kaggle-князи,"Регрессия, классификация, ансамбли и глубокие нейросети",Профессиональный,True,796 студента,7190.0,"4,4",113,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Все уровни,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
artintel/,Основы Искусственного Интеллекта,"Практически всё, что нужно знать для жизни в новом дивном мире",Начальный,True,495 студента,5690.0,"4,1",109,udemy,Обработка и анализ данных
generative_ai/,Генеративный ИИ: Руководство по эксплуатации,"Получите один из самых востребованных навыков будущего — промпт-инжиниринг, на примере ChatGPT и Midjourney",Начальный,True,253 студента,5390.0,"4,4",49,udemy,Обработка и анализ данных
python-parsing/,Парсинг сайтов PYTHON,Продвинутый парсинг сайтов на Python используя HTTP запросы и другие модули,Все уровни,True,1 201 студент,5390.0,"4,3",165,udemy,Обработка и анализ данных
ai_at_the_fingertips/,Искусственный Интеллект на кончиках пальцев,Введение в Искусственный Интеллект,Начальный,True,143 студента,6190.0,"4,4",35,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Все уровни,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
ittensive-machine-vision-recognition/,Машинное зрение: распознавание объектов на Python,Обучение и оптимизация сверточных нейросетей для распознавания объектов на изображениях,Профессиональный,True,171 студент,6090.0,"3,8",24,udemy,Обработка и анализ данных
ml_for_people/,Машинное обучение для людей,Всё про все современные методы машинного обучения самыми простыми словами,Начальный,True,105 студента,6090.0,"4,1",30,udemy,Обработка и анализ данных
ittensive-machine-learning-features/,Машинное обучение: выделение факторов на Python,"Выигрываем хакатон по выделению факторов: линейная регрессия, взаимная информация, PCA, ICA, NMF, MDS, t-SNE",Профессиональный,True,195 студента,5390.0,"4,6",21,udemy,Обработка и анализ данных
ittensive-python-machine-learning-linear-regression/,Машинное обучение: регрессия и предсказание данных на Python,Выигрываем соревнование на Kaggle по предсказанию данных с ансамблем линейной регрессии,Профессиональный,True,170 студента,6190.0,"4,2",17,udemy,Обработка и анализ данных
ittensive-python-machine-learning-unsupervised/,Машинное обучение без учителя на Python: полный курс,"Выигрываем хакатоны по выделению факторов (PCA, ICA, NMF, MDS, t-SNE) и кластеризации (К-средних, DBSCAN, OPTICS, SOM)",Профессиональный,True,197 студента,5390.0,"4,6",17,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Все уровни,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Все уровни,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
knime-instead-of-excel/,Альтернатива Excel: работа с данными в KNIME,"Автоматизация рутинных процессов по работе с данными (например, создание отчетов) с помощью платформы KNIME.",Все уровни,True,67 студента,5890.0,"4,5",21,udemy,Обработка и анализ данных
ittensive-python-machine-learning-neural/,Машинное обучение: нейросети и глубокое обучение на Python,Выигрываем соревнование Kaggle по классификации/сегментации изображений со сверточными и остаточными нейросетями,Профессиональный,True,224 студента,5690.0,"4,2",19,udemy,Обработка и анализ данных
ittensive-python-api/,"Импорт, парсинг и скрепинг данных на Python","Работа с API, JSON, XML, HTML и SQL, парсинг сайтов",Средний,True,226 студента,6190.0,"4,1",30,udemy,Обработка и анализ данных
the-ai-engineer-course-complete-ai-engineer-bootcamp/,The AI Engineer Course 2025: Complete AI Engineer Bootcamp,"Complete AI Engineer Training: Python, NLP, Transformers, LLMs, LangChain, Hugging Face, APIs",Все уровни,True,89 683 студента,5390.0,"4,6",12919,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Все уровни,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
intro-to-data-science/,Intro to Data Science: QuickStart Guide + AI & ChatGPT Prize,"Learn the critical elements of Data Science, from visualization to databases to Python and more, in just 6 weeks!",Начальный,True,32 167 студента,6190.0,"4,4",8717,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Начальный,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
artificial-intelligence-reinforcement-learning-in-python/,Artificial Intelligence: Reinforcement Learning in Python,"Complete guide to Reinforcement Learning, with Stock Trading and Online Advertising Applications",Средний,True,49 314 студента,2890.0,"4,7",10697,udemy,Обработка и анализ данных
data-science-deep-learning-in-python/,Data Science: Deep Learning and Neural Networks in Python,"The MOST in-depth look at neural network theory for machine learning, with both pure Python and Tensorflow code",Средний,True,62 197 студента,6190.0,"4,7",10162,udemy,Обработка и анализ данных
